"""Classification Code""",Description,Notes
EAR99,"Subject to the Export Administration Regulations, but not controlled elsewhere on the Commerce Control List.",
3A991,Electronic Devices and Components not controlled by 3A001.,Note: Items classified under the sub-heading 3A991.a.1 are subject to increased licensing requirements and cannot be resold by Digital River.
3A992,General Purpose electronic equipment not controlled by 3A002.,
3A999,"Specific Processing Equipment, (Frequency Changers, Mass Spectrometers, flash x-ray machines, pulse amplifiers, electronic equipment for time delay generation or time interval measurement)",
3B991,"Equipment not controlled by 3B001 for the Manufacture of Electronic Components and Materials, and Specially Designed Components and Accessories Therefor",
3B992,"Equipment not controlled by 3B002 for the Inspection or testing of electronic components and materials, and specially designed components and accessories therefor",
3C992,Positive resists designed for semiconductor lithography specially adjusted (optimized) for use at wavelengths between 370 and 245 nm.,
3D991,"Software specially designed for the ""development"", ""production"", or ""use"" of electronic devices or components controlled by 3A991, general purpose electronic equipment controlled by 3A992, or manufacturing and test equipment controlled by 3B991 and 3B992; or ""software"" specially designed for the ""use"" of equipment controlled by 3B001.g and .h.",
3E991,"Technology for the ""development"", ""production"", or ""use"" of electronic devices or components controlled by 3A991, general purpose electronic equipment controlled by 3A992, or manufacturing and test equipment controlled by 3B991 or 3B992, or materials controlled by 3C992.",
4A994,"Computers, ""electronic assemblies"", and related equipment not controlled by 4A001, 4A002, or 4A003, and specially designed components therefor.",
4D993,"Program proof and validation ""software"", ""software"" allowing the automatic generation of ""source codes"", and operating system ""software"" that are specially designed for real time processing equipment.",
4D994,"Software other than that controlled in 4D001 specially designed or modified for the ""development"", ""production"", or ""use"" of equipment controlled by 4A101, 4A994, 4B994, and materials controlled by 4C994.",
4E992,"Technology other than that controlled in 4E001 for the ""development,"" ""production,"" or ""use"" of equipment controlled by 4A994, or ""software"" controlled by 4D993 or 4D994",
4E993,"Technology for the ""development"" or ""production"" of equipment designed for ""multi-data-stream processing.""",
5A002,"Information security systems, equipment and components therefor, as follows (see List of Items Controlled).","Note: Items classified under this ECCN must also be eligible for license exception ""ENC"" or cannot be resold by Digital River."
5A991,"Telecommunication Equipment, Not Controlled by 5A001.",
5A992,Equipment not controlled by 5A002,
5B991,Telecommunications test equipment,
5C991,Preforms of glass or of any other material optimized for the manufacture of optical fibers controlled by 5A991.,
5D002,"Encrypted ""Software"".","Note: Items classified under this ECCN must also be eligible for license exception ""ENC"" or cannot be resold by Digital River"
5D991,"Software specially designed or modified for the ""development"", ""production"" or ""use"" of equipment controlled by 5A991 and 5B991, and dynamic adaptive routing software as described in the List of Items Controlled.",
5D992,"Information Security ""Software"" not controlled by 5D002.",
5E991,"Technology for the ""Development"", ""Production"" or ""Use"" of Equipment Controlled by 5A991 or 5B991, or ""Software"" Controlled by 5D991, and Other ""Technologies"" as Follows (see List of Items Controlled)",
5E992,"Information Security ""technology"" according to the General Technology Note, not controlled by 5E002.",
6A991,"Marine or terrestrial acoustic equipment, n.e.s., capable of detecting or locating underwater objects or features or positioning surface vessels or underwater vehicles; and specially designed components, n.e.s.",
6A993,"Cameras, not controlled by 6A003 or 6A203, as follows (see List of Items Controlled).",
6A994,"Optics, not controlled by 6A004.",
6A995,Lasers (see List of Items Controlled).,
6A996,"Magnetometers not controlled by ECCN 6A006, ""Superconductive"" electromagnetic sensors, and specially designed components therefore, as follows (see List of Items Controlled).",
6A997,"Gravity meters (gravimeters) for ground use, n.e.s.",
6C992,Optical sensing fibers not controlled by 6A002.d.3 which are modified structurally to have a `beat length' of less than 500 mm (high birefringence) or optical sensor materials not described in 6C002.b and having a zinc content of equal to or more than 6% by `mole fraction'.,
6C994,Optical materials.,
6D992,"Software specially designed for the ""development"" or ""production"" of equipment controlled by 6A992, 6A994, or 6A995.",
6D993,"Other ""software"" not controlled by 6D003.",
6E992,"Technology for the ""development"" or ""production"" of equipment, materials or ""software"" controlled by 6A992, 6A994, or 6A995, 6B995, 6C992, 6C994, or 6D993.",
6E993,"Other ""technology"", not controlled by 6E003, as follows (see List of Items Controlled).",
7B994,"Other equipment for the test, inspection, or ""production"" of navigation and avionics equipment.",
7D994,"Software, n.e.s., for the ""development"", ""production"", or ""use"" of navigation, airborne communication and other avionics.",
7E994,"Technology, n.e.s., for the ""development"", ""production"", or ""use"" of navigation, airborne communication, and other avionics equipment.",
8A992,"Vessels, Marine Systems or Equipment, Not Controlled by 8A001, 8A002 or 8A018, and Specially Designed Parts Therefor",
8D992,"Software specially designed or modified for the ""development"", ""production"" or ""use"" of equipment controlled by 8A992.",
8E992,"Technology for the ""development"", ""production"" or ""use"" of equipment controlled by 8A992.",
